Date,Product,Category,Region,Units,Revenue
2024-09-25 12:36:44,Shoes,Apparel,West,17,45919
2024-07-05 06:41:18,Laptop,Electronics,West,17,241833
2024-09-26 23:57:30,Watch,Apparel,North,12,168319
2024-11-06 20:42:47,Watch,Electronics,South,14,123172
2024-09-01 00:03:08,Phone,Apparel,North,6,96758
2024-06-03 02:38:12,Watch,Apparel,West,3,224819
2024-01-26 20:41:29,Phone,Apparel,South,9,195824
2024-11-05 10:37:10,Laptop,Apparel,West,5,58573
2024-06-17 19:43:06,Shoes,Electronics,North,17,61101
2024-10-31 10:04:58,Shoes,Apparel,North,14,235828
2024-12-04 02:05:11,Shoes,Electronics,West,3,28646
2024-10-04 13:30:28,Watch,Electronics,East,1,106185
2024-04-21 10:35:19,Laptop,Electronics,East,1,25049
2024-09-02 22:41:27,Watch,Electronics,North,3,212677
2024-05-01 20:07:30,Watch,Apparel,North,18,100116
2024-09-03 12:54:45,Laptop,Electronics,East,10,99379
2024-03-26 16:54:12,Laptop,Electronics,East,3,70385
2024-02-27 15:45:05,Laptop,Electronics,West,8,128131
2024-06-10 11:56:07,Laptop,Apparel,West,14,173230
2024-08-02 15:08:27,Shoes,Apparel,East,18,198489
2024-02-22 07:56:13,Shirt,Apparel,West,15,25289
2024-03-10 16:11:17,Shirt,Apparel,West,2,112226
2024-02-08 17:06:09,Laptop,Electronics,South,10,102793
2024-04-16 06:05:51,Shirt,Electronics,West,2,11823
2024-01-02 04:42:35,Shirt,Apparel,North,17,193232
2024-07-03 18:33:56,Laptop,Electronics,West,8,43975
2024-01-15 14:45:52,Shirt,Electronics,West,1,11540
2024-04-23 05:57:13,Watch,Electronics,East,9,18364
2024-03-06 13:33:09,Phone,Apparel,North,11,137683
2024-12-17 06:26:04,Phone,Apparel,West,16,29663
2024-04-22 05:19:39,Laptop,Electronics,West,7,53991
2024-04-17 16:54:08,Shoes,Apparel,South,10,190751
2024-03-07 11:17:46,Laptop,Apparel,West,3,106182
2024-05-03 04:14:50,Shoes,Apparel,West,18,164049
2024-03-11 18:16:30,Phone,Apparel,South,13,96704
2024-11-28 03:10:33,Laptop,Apparel,East,7,51115
2024-06-02 05:08:43,Watch,Electronics,West,4,93007
2024-09-05 19:49:15,Shirt,Apparel,South,13,221295
2024-12-13 07:37:51,Shoes,Electronics,North,1,193962
2024-11-04 15:26:06,Shirt,Electronics,East,8,199459
2024-05-26 09:30:37,Shirt,Apparel,North,14,151143
2024-08-20 02:15:25,Laptop,Electronics,North,16,192347
2024-07-14 03:51:10,Shirt,Electronics,South,14,205441
2024-02-29 13:53:01,Watch,Electronics,West,12,13938
2024-08-04 19:12:50,Shirt,Apparel,South,19,168267
2024-11-15 05:40:06,Laptop,Apparel,South,15,93680
2024-11-27 11:41:39,Watch,Electronics,South,2,6000
2024-11-17 23:26:55,Phone,Apparel,South,2,203660
2024-10-16 13:58:16,Shirt,Apparel,East,19,103042
2024-01-29 02:33:08,Laptop,Apparel,West,17,95610
2024-10-24 09:13:22,Phone,Apparel,North,10,105691
2024-01-31 19:44:06,Phone,Electronics,North,6,239378
2024-11-17 05:01:08,Shoes,Electronics,West,15,230928
2024-09-14 20:02:16,Watch,Apparel,North,11,40304
2024-05-06 20:10:14,Shirt,Apparel,West,5,244855
2024-09-28 01:02:09,Laptop,Electronics,North,1,71449
2024-06-26 14:47:31,Shoes,Electronics,South,8,84986
2024-08-21 17:24:40,Watch,Apparel,North,12,222715
2024-08-21 08:47:55,Shoes,Electronics,West,12,153836
2024-02-09 04:22:37,Watch,Apparel,West,5,110940
2024-07-03 10:01:21,Watch,Apparel,West,7,219099
2024-05-09 10:42:01,Shirt,Electronics,West,4,40494
2024-01-17 23:08:09,Watch,Electronics,West,6,5373
2024-07-13 23:16:04,Shoes,Apparel,East,13,145233
2024-08-03 07:28:01,Watch,Apparel,East,15,99532
2024-08-13 23:01:39,Shirt,Electronics,North,3,94658
2024-11-26 14:19:07,Shirt,Apparel,West,8,125633
2024-05-11 20:32:46,Shoes,Electronics,North,16,102386
