Date,Product,Category,Region,Units,Revenue
24-04-2024 18:05,Watch,Electronics,South,5,50406
11-02-2024 07:52,Watch,Apparel,North,7,79572
28-09-2024 03:55,Watch,Apparel,West,8,98193
06-09-2024 05:33,Shoes,Apparel,North,13,26629
09-02-2024 17:15,Shoes,Apparel,West,6,13131
27-04-2024 23:22,Shoes,Apparel,North,3,8643
13-06-2024 03:49,Laptop,Apparel,North,1,45291
22-03-2024 23:17,Laptop,Apparel,West,2,91737
06-02-2024 03:59,Watch,Apparel,East,8,87233
05-05-2024 19:30,Shoes,Apparel,South,10,27420
26-09-2024 03:03,Shoes,Apparel,West,8,20545
09-01-2024 11:40,Phone,Apparel,South,12,408264
09-03-2024 05:08,Shoes,Apparel,North,4,10888
07-09-2024 03:46,Shoes,Electronics,South,9,20509
07-10-2024 05:20,Shoes,Apparel,East,7,15940
08-11-2024 02:21,Phone,Apparel,North,3,107784
16-02-2024 17:04,Phone,Apparel,South,6,178300
04-07-2024 03:53,Shoes,Apparel,South,15,35221
28-01-2024 19:53,Watch,Apparel,South,7,86452
05-10-2024 08:29,Laptop,Apparel,West,2,105540
12-08-2024 02:26,Phone,Apparel,North,2,70627
17-12-2024 00:21,Shoes,Apparel,North,9,25969
06-04-2024 13:48,Laptop,Apparel,South,3,151485
24-06-2024 03:01,Phone,Apparel,South,8,208174
18-04-2024 20:52,Phone,Apparel,West,2,50493
02-10-2024 16:02,Shoes,Apparel,West,17,47299
23-06-2024 08:41,Phone,Apparel,West,4,128138
08-11-2024 22:22,Phone,Apparel,North,8,259475
20-08-2024 12:23,Watch,Apparel,East,2,21656
22-03-2024 09:28,Shoes,Apparel,West,13,29838
03-03-2024 19:41,Phone,Apparel,West,10,322787
19-12-2024 07:20,Laptop,Apparel,South,1,36834
23-08-2024 14:51,Watch,Apparel,West,4,56430
04-07-2024 12:22,Watch,Apparel,North,7,96261
08-02-2024 17:25,Shoes,Apparel,South,9,20820
16-11-2024 12:09,Laptop,Apparel,North,5,186457
